#SampleID	kingdom	phylum	class	order	family	genus	species	strain
10317.000101098	0	32	0	2	1	4	43	0
10317.000101104	0	3	0	0	0	1	2	0
10317.000101105	0	6	0	4	0	0	5	2
10317.000101109	1	63	0	7	17	2	33	0
10317.000101112	0	43	0	23	0	3	39	4
10317.000101116	1	79	0	42	1	6	82	43
10317.000101132	1	5	0	13	6	1	18	4
10317.000101136	1	26	0	11	0	0	41	6
10317.000101140	1	153	0	23	9	10	83	21
10317.000101150	0	46	0	28	0	5	46	2
10317.000101179	3	475	0	65	10	1	356	26
10317.000101200	5	230	1	52	248	3	305	128
10317.000101213	2	45	0	58	15	3	104	17
10317.000101226	11	599	0	100	29	16	391	13
10317.000101237	2	420	0	231	105	13	498	14
10317.000101239	0	24	0	5	10	2	23	0
10317.000101250	3	867	1	108	293	42	405	138
10317.000101262	0	52	4	184	2	76	594	64
10317.000101273	1	68	23	21	6	187	35	5
10317.000101382	2	57	0	31	3	7	96	6
10317.000001524	14	528	0	127	48	5	336	6
10317.000012185	2	211	18	28	2	3	175	46
10317.000021969	0	10	0	2	0	0	5	0
10317.000022036	2	227	3	40	24	2	113	12
10317.000022342	3	440	0	131	55	4	338	22
10317.000022343	0	264	0	260	0	0	107	0
10317.000023779	5	780	0	215	31	8	379	69
10317.000029399	5	121	0	70	0	5	204	10
10317.000032746	7	172	0	120	31	20	153	9
10317.000032817	4	543	0	84	96	22	362	10
10317.000039907	5	344	0	79	12	14	73	0
10317.000040025	0	14	0	19	0	2	49	0
10317.000040323	0	28	0	3	9	3	39	2
10317.000067462	3	328	0	113	36	3	227	26
10317.000067514	7	202	1	122	3	25	315	15
10317.000067519	3	341	0	60	4	8	245	8
10317.000067672	3	204	0	123	61	17	99	32
10317.000067700	13	243	2	256	49	17	311	25
10317.000067934	21	924	0	111	34	7	413	18
10317.000067945	5	836	0	56	25	7	352	25
10317.000067959	2	167	2	233	65	3	239	103
10317.000068014	0	71	0	24	1	3	72	3
10317.000068257	708	499	0	316	36	6	181	312
10317.000069025	5	273	0	159	9	8	258	8
10317.000022413	0	349	0	143	17	48	209	36
10317.000023731	0	16	0	11	5	0	51	0
10317.000023747	9	1029	0	366	40	17	577	81
10317.000023974	5	837	1	126	25	51	722	8
10317.000030364	0	83	0	39	1	0	62	10
10317.000033078	4	528	0	574	24	16	548	58
10317.000037504	0	7	0	7	0	1	8	0
10317.000038076	15	193	2	188	5	4	104	65
10317.000042006	3	581	0	139	59	2	430	8
10317.000042969	6	830	1	251	135	7	529	10
10317.000043003	36	798	0	204	183	63	502	154
10317.000049007	5	696	2	74	46	2	208	2
10317.000049977	6	255	0	165	4	3	142	34
10317.000049986	5	62	0	66	17	58	123	5
10317.000050281	3	92	0	26	3	4	187	4
10317.000051078	8	330	0	36	1	8	84	30
10317.000051108	9	702	29	378	3	130	1271	78
10317.000051183	0	17	0	36	0	7	40	1
10317.000052070	1	98	0	112	30	4	56	2
10317.000052476	0	150	0	33	0	7	223	16
10317.000059984	6	672	6	109	5	10	802	44
10317.000063174	5	399	1	173	12	32	373	17
10317.000079083	3	215	0	122	30	40	429	2
10317.000089338	12	288	0	110	88	5	503	25
10317.000094704	3	117	0	52	13	8	133	25
