#SampleID	kingdom	phylum	class	order	family	genus	species	strain
10317.000101098	50	2	34	51	21	122	3313	14
10317.000101104	48	0	0	6	3	38	1351	28
10317.000101105	177	379	17	76	49	5	2336	4
10317.000101109	202	146	20	128	43	126	2396	1
10317.000101112	1	4	12	31	5	1927	259	35
10317.000101116	277	11	36	89	70	268	537	95
10317.000101132	1	1	12	4	17	178	3571	19
10317.000101136	71	1078	13	112	67	425	681	15
10317.000101140	75	22	12	154	9	389	2751	15
10317.000101150	71	11	31	253	49	57	1703	24
10317.000101179	213	4	21	146	86	2565	934	50
10317.000101200	178	18	104	235	37	574	757	20
10317.000101213	173	9	18	199	15	1977	122	31
10317.000101226	58	19	424	402	23	1090	676	49
10317.000101237	17	14	208	612	25	2418	777	76
10317.000101239	29	0	1	32	8	89	103	30
10317.000101250	237	69	63	430	128	1340	1970	75
10317.000101262	354	44	27	747	31	1712	153	49
10317.000101273	16	31	232	61	19	764	646	10
10317.000101382	181	15	29	161	68	568	446	56
10317.000001524	112	46	71	637	120	1097	1100	95
10317.000012185	351	48	46	1377	167	204	1714	104
10317.000021969	19	2	1	10	4	3571	28	13
10317.000022036	77	5	140	590	29	1051	517	34
10317.000022342	145	148	34	951	69	268	2265	28
10317.000022343	40	4	14	1630	14	204	997	252
10317.000023681	1	130	0	6	0	0	4290	1
10317.000023779	88	126	365	558	116	1050	1720	94
10317.000029399	292	535	17	1314	231	1341	657	19
10317.000032746	402	19	44	144	32	1710	1444	20
10317.000032817	256	43	56	232	35	2261	1856	67
10317.000039907	196	223	60	498	48	285	2588	22
10317.000040025	59	94	16	115	310	807	1274	2
10317.000040323	42	432	16	157	20	456	794	942
10317.000067462	383	38	57	227	227	871	1776	71
10317.000067514	495	42	49	582	35	258	2238	46
10317.000067519	163	92	54	241	25	1013	1632	39
10317.000067672	427	10	45	123	19	3268	761	141
10317.000067700	203	68	76	333	45	2545	1506	72
10317.000067934	333	61	409	433	383	1301	1828	43
10317.000067945	187	31	327	427	133	1103	1622	37
10317.000067959	425	28	118	356	21	3807	375	231
10317.000068014	41	6	10	104	13	553	936	85
10317.000068257	133	83	151	1184	229	790	1635	360
10317.000069025	584	29	167	117	5	1041	1707	167
10317.000022413	141	27	161	720	736	2181	2902	167
10317.000023731	9	957	26	101	10	816	881	0
10317.000023747	137	163	102	453	214	1571	2213	140
10317.000023974	345	15	112	367	46	1335	2762	42
10317.000030364	37	160	23	53	82	983	1016	35
10317.000033078	500	81	108	307	23	1134	2711	53
10317.000037504	8	2	1	10	1262	75	26	4
10317.000038076	97	67	67	379	56	578	3399	177
10317.000042006	825	1113	160	245	45	882	909	37
10317.000042969	762	94	87	387	133	1943	1590	146
10317.000043003	493	13	301	761	104	2281	1251	252
10317.000049007	637	341	190	456	206	960	1416	17
10317.000049977	109	363	123	351	85	468	1177	74
10317.000049986	382	77	16	433	37	1737	1949	81
10317.000050281	280	612	44	738	419	332	2044	24
10317.000051078	116	6	131	135	156	3149	863	135
10317.000051108	110	65	196	515	18	1904	2441	182
10317.000051183	62	17	14	70	262	420	1235	332
10317.000052070	27	45	271	73	7	676	378	230
10317.000052476	1421	1	6	1289	1565	817	536	63
10317.000059984	592	73	111	359	15	2444	1919	144
10317.000063174	251	67	65	547	55	2869	1153	75
10317.000079083	845	12	91	670	26	1531	1064	57
10317.000089338	99	28	18	233	1	1223	777	510
10317.000094704	127	11	42	145	226	527	417	323
